Torneio,Temporada,Equipe,Nome,Slug,Short Name,Gender,Sport,Category,Tournament,Manager,Venue,Foundation Date,ID,Country,Full Name,Team Colors
Brasileirão Série A,Brasileirão Série A 2023,Palmeiras,Palmeiras,palmeiras,Palmeiras,M,Football,Brazil,Brasileirão Série A,Abel Ferreira,Allianz Parque,1914-08-26 00:00:00,1963,Brazil,Palmeiras,#339966
Brasileirão Série A,Brasileirão Série A 2023,Botafogo,Botafogo,botafogo,Botafogo,M,Football,Brazil,Brasileirão Série B,Tiago Nunes,Estádio Nilton Santos,1894-07-01 00:00:00,1958,Brazil,Botafogo,#000000
Brasileirão Série A,Brasileirão Série A 2023,Flamengo,Flamengo,flamengo,Flamengo,M,Football,Brazil,Brasileirão Série A,Tite,Estádio do Maracanã,1895-11-15 00:00:00,5981,Brazil,Flamengo,#ff0000
Brasileirão Série A,Brasileirão Série A 2023,Grêmio,Grêmio,gremio,Grêmio,M,Football,Brazil,Brasileirão Série A,Renato Gaúcho,Arena do Grêmio,1903-09-15 00:00:00,5926,Brazil,Grêmio,#3399ff
Brasileirão Série A,Brasileirão Série A 2023,Red Bull Bragantino,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,Brazil,Brasileirão Série A,Pedro Caixinha,Estadio Nabi Abi Chedid,1928-01-08 00:00:00,1999,Brazil,Red Bull Bragantino,#363636
Brasileirão Série A,Brasileirão Série A 2023,Atlético Mineiro,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,Brazil,Brasileirão Série A,Luiz Felipe Scolari,Arena MRV,1908-03-25 00:00:00,1977,Brazil,Atlético Mineiro,#000000
Brasileirão Série A,Brasileirão Série A 2023,Fluminense,Fluminense,fluminense,Fluminense,M,Football,Brazil,Brasileirão Série A,Fernando Diniz,Estádio do Maracanã,1902-07-21 00:00:00,1961,Brazil,Fluminense,#660000
Brasileirão Série A,Brasileirão Série A 2023,Athletico,Athletico,athletico,Athletico,M,Football,Brazil,Brasileirão Série A,Wesley Carvalho,Ligga Arena,1924-03-26 00:00:00,1967,Brazil,Athletico,#000000
Brasileirão Série A,Brasileirão Série A 2023,Cuiabá,Cuiabá,cuiaba,Cuiabá,M,Football,Brazil,Brasileirão Série A,António Oliveira,Arena Pantanal,2021-03-16 00:00:00,49202,Brazil,Cuiabá,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,São Paulo,São Paulo,sao-paulo,São Paulo,M,Football,Brazil,Brasileirão Série A,Dorival Júnior,Estádio Cicero Pompeu de Toledo,1935-12-16 00:00:00,1981,Brazil,São Paulo,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Fortaleza,Fortaleza,fortaleza,Fortaleza,M,Football,Brazil,Brasileirão Série A,Juan Pablo Vojvoda,Arena Castelão,1918-10-18 00:00:00,2020,Brazil,Fortaleza,#0000ff
Brasileirão Série A,Brasileirão Série A 2023,Corinthians,Corinthians,corinthians,Corinthians,M,Football,Brazil,Brasileirão Série A,Mano Menezes,Neo Química Arena,1910-09-01 00:00:00,1957,Brazil,Corinthians,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Internacional,Internacional,internacional,Internacional,M,Football,Brazil,Brasileirão Série A,Eduardo Coudet,Estadio Beira-Rio,1909-04-04 00:00:00,1966,Brazil,Internacional,#cc0000
Brasileirão Série A,Brasileirão Série A 2023,Vasco da Gama,Vasco da Gama,vasco-da-gama,Vasco,M,Football,Brazil,Brasileirão Série B,Ramón Díaz,Estádio São Januário,1898-08-21 00:00:00,1974,Brazil,Vasco da Gama,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Santos,Santos,santos,Santos,M,Football,Brazil,Brasileirão Série A,Marcelo Fernandes,Urbano Caldeira,1912-04-14 00:00:00,1968,Brazil,Santos,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Bahia,Bahia,bahia,Bahia,M,Football,Brazil,Brasileirão Série A,Rogério Ceni,Arena Fonte Nova,1931-01-01 00:00:00,1955,Brazil,Bahia,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,Cruzeiro,Cruzeiro,cruzeiro,Cruzeiro,M,Football,Brazil,Brasileirão Série B,Paulo Autuori,Governador Magalhaes Pinto,1921-01-02 00:00:00,1954,Brazil,Cruzeiro,#0033cc
Brasileirão Série A,Brasileirão Série A 2023,Goiás,Goiás,goias,Goiás,M,Football,Brazil,Brasileirão Série B,Armando Evangelista,Estádio Hailé Pinheiro,1943-04-06 00:00:00,1960,Brazil,Goiás,#006633
Brasileirão Série A,Brasileirão Série A 2023,Coritiba,Coritiba,coritiba,Coritiba,M,Football,Brazil,Brasileirão Série B,Thiago Kosloski,Estádio Couto Pereira,1909-10-12 00:00:00,1982,Brazil,Coritiba,#ffffff
Brasileirão Série A,Brasileirão Série A 2023,América Mineiro,América Mineiro,america-mineiro,América-MG,M,Football,Brazil,Brasileirão Série A,Diogo Giacomini,Arena Independência,1912-04-30 00:00:00,1973,Brazil,América Mineiro,#056635
Brasileirão Série A,Brasileirão Série A 2022,Ceará,Ceará,ceara,Ceará,M,Football,Brazil,Brasileirão Série A,Guto Ferreira,Arena Castelão,1914-06-02 00:00:00,2001,Brazil,Ceará,#000000
Brasileirão Série A,Brasileirão Série A 2022,Atlético Goianiense,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,Brazil,Brasileirão Série A,Jair Ventura,Estadio Antonio Accioly,1937-04-02 00:00:00,7314,Brazil,Atlético Goianiense,#ff0000
